Date,Description,Amount
2026-09-02,Employer Payroll,3050.00
2026-09-03,Fresh Market Grocery,-64.20
2026-09-05,City Power & Gas,-58.10
2026-09-06,Rideshare Trip,-14.50
2026-09-08,Coffee Corner,-4.80
2026-09-09,Trattoria Bella,-38.00
2026-09-10,Online Retailer Order,-52.90
2026-09-12,FitZone Gym,-39.00
2026-09-13,StreamPlus Subscription,-12.99
2026-09-15,Metro Transit Pass,-50.00
2026-09-17,Sportswear Store,-77.30
2026-09-18,Cinema Tickets,-24.00
2026-09-20,Dr. Patel Clinic,-45.00
2026-09-22,HealthGuard Insurance,-65.00
2026-09-24,Rent Payment,-950.00
2026-09-25,ATM WITHDRAWAL 000482,-100.00
2026-09-25,PAYPAL *MERCH8821,-23.50
2026-09-25,MISC ADJ 00931 CCY CONV,-12.35
2026-09-26,Insurance Claim Payout Correction,-300.00
2026-09-26,Salary Overpayment Recovery,-45.00
2026-09-26,Freelance Invoice Chargeback,-1200.00
2026-09-27,Grocery Store Refund,8.50
2026-09-27,Gym Membership Refund,39.00
2026-09-27,Cash Deposit Reversal,-150.00
